,Context before,token,Context after,Sense
0,"a yellow colour . It was filtered and evaporated , when it left a quantity of emulsine . The yellow",mass,"on the filter was treated with boiling alcohol , which became yellow , while the residue lost almost the whole",N
1,. In my paper on the Physical Properties of Ice this promise is fulfilled ; I have shown how a,mass,"of compact ice may be liquefied by pressure , in parallel planes perpendicular to the direction of the force ,",N
2,"cone in 7 minutes after the commencement of filling , which may be taken as the time in which the",mass,of iron in the cone had reached 21 Fahr. It was also found that the firm surrounding solid crust had,M
3,"perpendicularly towards that surface , saving an abatement that must be made for the inequality of pressure upon the central",mass,", when that is not in equilibrium . But if the central mass be infinitely , small , whether it",N
4,"took place ; and , when this had subsided , the whole was poured into a proper vessel . The",mass,", when cold , was grayish-brown . Boiling distilled water was poured upon it ; and the brown residuum ,",N
5,"are curious foot-shaped bones , and are extremely solid , especially the dentigerous "" toe""-\#151 ; an oblique , oval",mass,", looking straight towards its fellow , from which it is separated by a space half the width of the",N
6,", be represented by A'x , Bly , B z : and in like manner the attractions of the interior",mass,"abc upon the particle , may be denoted by 141 A "" x , B "" y , and the",N
7,"extends to infinity and the total mass is infinite ; when , the matter extends to infinity but the total",mass,"finite ; when , the matter is of finite extent and of finite total mass . As increases the variations",M
8,"of Anthocem but morphologically speaking , in both cases we have to deal with sterilized cells of\#171 ; potential sporogenous",mass,", and in both cases the organisms concerned are such a give good reason to recognize in the presence of",N
9,", with potash ; and this idea is favoured by some trials that I made to separate silex from the",mass,", by boiling it in concentrated fluoric acid ; the substance did not seem to be much altered by this",N
10,"the rubian was entirely decomposed . The filteired liquid left on evaporation a quantity of sugar , and the residual",mass,"on the filter , which was interspersed with numerous small yellow crystals , was treated with boiling alcohol , which",N
11,perhaps partly also by the action of the ordinary precession and the contraction and change of ellipticity of the nebulous,mass,. * ' ' Precession S 19 . If the change has been as much as an hour the rotational,N
12,"the experiments now under consideration . Further , the strength of induced currents depends on the conducting power of the",mass,"in which they are formed . Expressing the conducting power of bismuth by the number 1*8 , that of copper",N
13,the opening-up and widening of the primordial fissure in which the notochord lies ; for the moieties of the investing,mass,are seen to press closely on the notochord in the first stage ( Plate LXXXI . fig. 2 ) the,N
14,and copper pyrites it is probable that the thallium is here present in the form of Crookesite disseminated through the,mass,. The optical of detecting thallium in a mineral is very simple . A few grains of the ore are,N
15,"as the compass , the correction is much more simple . It is only necessary then to introduce a single",mass,"of iron at the starboard or larboard side , and at the same level as the compass . For the",N
16,Let us now conceive the 1000 feet of sedimentary mass of lower conductive power to be deposited upon the unstratified,mass,. The escape of the heat would at first be impeded till the temperature of the bottom of the sedimentary,N
17,lowering of temperature produced by removing a quantity of heat equal to t -dT mx~ dt ' from an equal,mass,of liquid unchanged in form . For water T=2'96 gr. per lineal inch . Work per square inch spent in,M
18,", it would seem that the only conceivable causes which can affect the degree of solidity or fluidity of the",mass,", are temperature and pressure . It may be doubted by some persons whether solidification be actually promoted by the",N
19,". , and for mt.pg . read OF THE SKULL IN ' LEPIDOSTEUS OSSEUS . turn passes into the investing",mass,"( iv . ) below . There the cartilage is a thick wedge , right and left , and the",N
20,"mean solar day , Combining these values I find for the earth 's rotational momentum Writing for the moon 's",mass,", and neglecting the eccentricity of the lunar orbit , the moon 's orbital momentum is * If we determine",M
21,"the subarchesporial pad , has its physiological interest . The sporangium is an unusually large one , and the spore-producing",mass,"very bulky ; the difficulties of supply of nourishment to so large a mass are obvious , and would be",N
22,", vertical below it ; still this difficulty may be due to our ignorance of the mechanical conditions of the",mass,during its descent . In this way it would be quite possible to fritter away conviction to a mere opinion,N
23,Phiiosophy ' as generally confirmatory of Thomson 's view as to the great eifective rigidity of the whole earth 's,mass,". There is one tide , however , of long period of which Laplace 's argument from friction must hold",M
24,be the same in all the observations which shall be made according to this system . For the unit of,mass,", then , we may take a grain ; for the unit of time a second ; and , if",M
25,many solutions . It is allowed on all hands that there is a rmutual connexion between the figure of a,mass,"of fluid and the attractions it exerts upon its particles : the relation which these two things , alike unknown",N
26,"of parts which is perpetually presented to the student of natural science . In the latter case especially , the",mass,"of horn in close contact with the skull , and therefore capable of transimitting heat directly to the animal 's",N
27,"of the great difference between the direct action of a force on a solid , and that on a fluid",mass,", in its tendency to produce rotatory motion . We have seen , in fact , that the disturbing forces",N
28,"( which for convenience the author calls the "" enclosed space , "" ) marking the boundary of an irregular",mass,", which is the only part of the earth 's surface that appears to have a sensible effect on the",N
29,doubt for a considerable period and under exceptionally favourable circumstances . Had not the subterranean pressures increased and driven the,mass,"upwards , and the temperatures at greater depths been so high as to render the ascending forces irrepressible , the",N
